Congress,Id,Issue,PublishDate,Volume,PDF URL
114,14041,89,2016-06-07,162,https://www.congress.gov/114/crec/2016/06/07/CREC-2016-06-07-dailydigest.pdf
114,14041,89,2016-06-07,162,https://www.congress.gov/114/crec/2016/06/07/CREC-2016-06-07.pdf
114,14041,89,2016-06-07,162,https://www.congress.gov/114/crec/2016/06/07/CREC-2016-06-07-house.pdf
114,14041,89,2016-06-07,162,https://www.congress.gov/114/crec/2016/06/07/CREC-2016-06-07-extensions.pdf
114,14041,89,2016-06-07,162,https://www.congress.gov/114/crec/2016/06/07/CREC-2016-06-07-senate.pdf
