Congress,Id,Issue,PublishDate,Volume,PDF URL
111,731,39,2009-03-05,155,https://www.congress.gov/111/crec/2009/03/05/CREC-2009-03-05-dailydigest.pdf
111,731,39,2009-03-05,155,https://www.congress.gov/111/crec/2009/03/05/CREC-2009-03-05.pdf
111,731,39,2009-03-05,155,https://www.congress.gov/111/crec/2009/03/05/CREC-2009-03-05-house.pdf
111,731,39,2009-03-05,155,https://www.congress.gov/111/crec/2009/03/05/CREC-2009-03-05-extensions.pdf
111,731,39,2009-03-05,155,https://www.congress.gov/111/crec/2009/03/05/CREC-2009-03-05-senate.pdf
