Congress,Id,Issue,PublishDate,Volume,PDF URL
114,26410,186,2017-01-03,162,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v162-dailydigest.pdf
114,26410,186,2017-01-03,162,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v162.pdf
114,26410,186,2017-01-03,162,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v162-house.pdf
114,26410,186,2017-01-03,162,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v162-extensions.pdf
114,26410,186,2017-01-03,162,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v162-senate.pdf
115,15961,1,2017-01-03,163,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v163-dailydigest.pdf
115,15961,1,2017-01-03,163,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v163.pdf
115,15961,1,2017-01-03,163,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v163-house.pdf
115,15961,1,2017-01-03,163,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v163-extensions.pdf
115,15961,1,2017-01-03,163,https://www.congress.gov/115/crec/2017/01/03/CREC-2017-01-03-v163-senate.pdf
