Congress,Id,Issue,PublishDate,Volume,PDF URL
116,24481,1,2019-01-03,165,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-dailydigest.pdf
116,24481,1,2019-01-03,165,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03.pdf
116,24481,1,2019-01-03,165,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-house.pdf
116,24481,1,2019-01-03,165,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-extensions.pdf
116,24481,1,2019-01-03,165,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-senate.pdf
115,24381,208,2019-01-03,164,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-v164-dailydigest.pdf
115,24381,208,2019-01-03,164,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-v164.pdf
115,24381,208,2019-01-03,164,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-v164-house.pdf
115,24381,208,2019-01-03,164,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-v164-extensions.pdf
115,24381,208,2019-01-03,164,https://www.congress.gov/116/crec/2019/01/03/CREC-2019-01-03-v164-senate.pdf
