Congress,Id,Issue,PublishDate,Volume,PDF URL
104,3530,56,1996-04-29,142,https://www.congress.gov/104/crec/1996/04/29/142/56/CREC-1996-04-29-dailydigest.pdf
104,3530,56,1996-04-29,142,https://www.congress.gov/104/crec/1996/04/29/142/56/CREC-1996-04-29.pdf
104,3530,56,1996-04-29,142,https://www.congress.gov/104/crec/1996/04/29/142/56/CREC-1996-04-29-house.pdf
104,3530,56,1996-04-29,142,https://www.congress.gov/104/crec/1996/04/29/142/56/CREC-1996-04-29-extensions.pdf
104,3530,56,1996-04-29,142,https://www.congress.gov/104/crec/1996/04/29/142/56/CREC-1996-04-29-senate.pdf
