Congress,Id,Issue,PublishDate,Volume,PDF URL
114,13941,84,2016-05-26,162,https://www.congress.gov/114/crec/2016/05/26/CREC-2016-05-26-dailydigest.pdf
114,13941,84,2016-05-26,162,https://www.congress.gov/114/crec/2016/05/26/CREC-2016-05-26.pdf
114,13941,84,2016-05-26,162,https://www.congress.gov/114/crec/2016/05/26/CREC-2016-05-26-house.pdf
114,13941,84,2016-05-26,162,https://www.congress.gov/114/crec/2016/05/26/CREC-2016-05-26-extensions.pdf
114,13941,84,2016-05-26,162,https://www.congress.gov/114/crec/2016/05/26/CREC-2016-05-26-senate.pdf
