Congress,Id,Issue,PublishDate,Volume,PDF URL
104,3430,126,1995-08-01,141,https://www.congress.gov/104/crec/1995/08/01/141/126/CREC-1995-08-01-dailydigest.pdf
104,3430,126,1995-08-01,141,https://www.congress.gov/104/crec/1995/08/01/141/126/CREC-1995-08-01.pdf
104,3430,126,1995-08-01,141,https://www.congress.gov/104/crec/1995/08/01/141/126/CREC-1995-08-01-house.pdf
104,3430,126,1995-08-01,141,https://www.congress.gov/104/crec/1995/08/01/141/126/CREC-1995-08-01-extensions.pdf
104,3430,126,1995-08-01,141,https://www.congress.gov/104/crec/1995/08/01/141/126/CREC-1995-08-01-senate.pdf
