Congress,Id,Issue,PublishDate,Volume,PDF URL
111,26466,200,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i200-dailydigest.pdf
111,26466,200,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i200.pdf
111,26466,200,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i200-house.pdf
111,26466,200,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i200-extensions.pdf
111,26466,200,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i200-senate.pdf
111,859,199,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i199-dailydigest.pdf
111,859,199,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i199.pdf
111,859,199,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-i199-house.pdf
111,859,199,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-extensions-bk2.pdf
111,859,199,2009-12-23,155,https://www.congress.gov/111/crec/2009/12/23/CREC-2009-12-23-senate-bk2.pdf
