Congress,Id,Issue,PublishDate,Volume,PDF URL
117,26583,107,2021-06-21,167,https://www.congress.gov/117/crec/2021/06/21/167/107/CREC-2021-06-21-dailydigest.pdf
117,26583,107,2021-06-21,167,https://www.congress.gov/117/crec/2021/06/21/167/107/CREC-2021-06-21.pdf
117,26583,107,2021-06-21,167,https://www.congress.gov/117/crec/2021/06/21/167/107/CREC-2021-06-21-house.pdf
117,26583,107,2021-06-21,167,https://www.congress.gov/117/crec/2021/06/21/167/107/CREC-2021-06-21-extensions.pdf
117,26583,107,2021-06-21,167,https://www.congress.gov/117/crec/2021/06/21/167/107/CREC-2021-06-21-senate.pdf
